Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
9-May-18,"1,346.94","1,345.99","1,351.60","1,343.00",3.34K,0.46%,XETRA,Germany,EUR
8-May-18,"1,340.80","1,341.99","1,348.49","1,335.41",5.16K,-0.23%,XETRA,Germany,EUR
7-May-18,"1,343.95","1,335.99","1,349.00","1,325.91",6.35K,1.55%,XETRA,Germany,EUR
4-May-18,"1,323.40","1,314.50","1,326.00","1,309.00",5.27K,1.93%,XETRA,Germany,EUR
3-May-18,"1,298.35","1,309.80","1,314.64","1,293.36",3.96K,-1.54%,XETRA,Germany,EUR
2-May-18,"1,318.60","1,326.79","1,328.98","1,312.00",4.77K,0.56%,XETRA,Germany,EUR
30-Apr-18,"1,311.25","1,307.98","1,320.00","1,296.20",8.68K,-0.49%,XETRA,Germany,EUR
27-Apr-18,"1,317.75","1,327.05","1,378.00","1,295.93",32.16K,6.32%,XETRA,Germany,EUR
26-Apr-18,"1,239.40","1,212.01","1,241.00","1,208.00",4.36K,3.25%,XETRA,Germany,EUR
25-Apr-18,"1,200.40","1,200.00","1,205.99","1,162.00",8.49K,-1.08%,XETRA,Germany,EUR
24-Apr-18,"1,213.48","1,249.99","1,259.88","1,201.95",6.40K,-3.61%,XETRA,Germany,EUR
23-Apr-18,"1,258.90","1,251.00","1,266.60","1,245.20",3.38K,0.04%,XETRA,Germany,EUR
20-Apr-18,"1,258.40","1,264.98","1,272.54","1,254.15",5.13K,0.15%,XETRA,Germany,EUR
19-Apr-18,"1,256.55","1,257.40","1,267.00","1,242.22",5.60K,1.87%,XETRA,Germany,EUR
18-Apr-18,"1,233.51","1,218.01","1,234.28","1,216.11",5.10K,3.03%,XETRA,Germany,EUR
17-Apr-18,"1,197.25","1,171.97","1,199.00","1,167.76",2.52K,3.26%,XETRA,Germany,EUR
16-Apr-18,"1,159.45","1,169.00","1,169.95","1,153.19",2.97K,-1.03%,XETRA,Germany,EUR
13-Apr-18,"1,171.50","1,174.99","1,183.45","1,166.29",4.32K,-0.34%,XETRA,Germany,EUR
12-Apr-18,"1,175.54","1,155.99","1,180.00","1,153.04",3.66K,1.12%,XETRA,Germany,EUR
11-Apr-18,"1,162.50","1,158.00","1,169.95","1,147.21",1.88K,0.22%,XETRA,Germany,EUR
10-Apr-18,"1,160.00","1,168.00","1,168.00","1,145.58",2.90K,-0.17%,XETRA,Germany,EUR
9-Apr-18,"1,162.00","1,158.00","1,165.20","1,150.12",3.95K,-0.60%,XETRA,Germany,EUR
6-Apr-18,"1,169.03","1,173.78","1,182.33","1,164.00",3.44K,-1.57%,XETRA,Germany,EUR
5-Apr-18,"1,187.65","1,170.57","1,187.65","1,161.00",8.90K,5.49%,XETRA,Germany,EUR
4-Apr-18,"1,125.83","1,126.99","1,127.69","1,092.00",11.37K,-0.19%,XETRA,Germany,EUR
3-Apr-18,"1,128.00","1,114.89","1,145.00","1,103.51",14.55K,-2.15%,XETRA,Germany,EUR
29-Mar-18,"1,152.82","1,162.00","1,183.17","1,109.40",13.34K,1.27%,XETRA,Germany,EUR
28-Mar-18,"1,138.35","1,216.54","1,218.13","1,125.00",24.10K,-10.16%,XETRA,Germany,EUR
27-Mar-18,"1,267.04","1,260.93","1,271.75","1,260.00",6.42K,4.05%,XETRA,Germany,EUR
26-Mar-18,"1,217.68","1,227.10","1,239.30","1,200.25",7.53K,-1.10%,XETRA,Germany,EUR
23-Mar-18,"1,231.19","1,241.29","1,255.96","1,225.83",13.88K,-2.24%,XETRA,Germany,EUR
22-Mar-18,"1,259.46","1,270.00","1,277.30","1,256.01",4.94K,-2.64%,XETRA,Germany,EUR
21-Mar-18,"1,293.59","1,295.00","1,295.86","1,280.00",4.84K,0.59%,XETRA,Germany,EUR
20-Mar-18,"1,286.06","1,255.98","1,286.06","1,250.71",5.65K,3.02%,XETRA,Germany,EUR
19-Mar-18,"1,248.36","1,278.48","1,278.48","1,234.00",8.20K,-2.54%,XETRA,Germany,EUR
16-Mar-18,"1,280.89","1,288.01","1,294.00","1,277.37",3.38K,-0.46%,XETRA,Germany,EUR
15-Mar-18,"1,286.80","1,293.80","1,294.64","1,279.90",2.97K,-0.39%,XETRA,Germany,EUR
14-Mar-18,"1,291.85","1,287.99","1,299.92","1,285.50",5.32K,0.99%,XETRA,Germany,EUR
13-Mar-18,"1,279.20","1,302.50","1,309.00","1,274.00",11.43K,-1.63%,XETRA,Germany,EUR
12-Mar-18,"1,300.44","1,291.94","1,303.00","1,287.40",7.99K,2.26%,XETRA,Germany,EUR
9-Mar-18,"1,271.72","1,262.80","1,274.35","1,260.01",6.78K,1.04%,XETRA,Germany,EUR
8-Mar-18,"1,258.57","1,247.70","1,260.68","1,243.26",4.92K,1.55%,XETRA,Germany,EUR
7-Mar-18,"1,239.41","1,224.98","1,243.15","1,221.47",3.19K,0.38%,XETRA,Germany,EUR
6-Mar-18,"1,234.74","1,245.89","1,247.00","1,231.00",6.44K,0.63%,XETRA,Germany,EUR
5-Mar-18,"1,227.04","1,207.00","1,227.04","1,202.25",9.40K,2.23%,XETRA,Germany,EUR
