Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
5-Apr-18,"26,419.08","26,000.00","26,427.00","25,932.00",1.79K,3.71%,BMV,Mexico,MXN
4-Apr-18,"25,473.93","25,020.00","25,500.00","24,975.00",1.87K,0.36%,BMV,Mexico,MXN
3-Apr-18,"25,382.32","25,304.13","25,700.00","24,780.00",2.74K,1.78%,BMV,Mexico,MXN
2-Apr-18,"24,937.99","25,870.00","25,870.00","24,930.00",10.02K,-4.95%,BMV,Mexico,MXN
28-Mar-18,"26,235.90","27,000.00","27,000.00","25,437.00",3.45K,-4.25%,BMV,Mexico,MXN
27-Mar-18,"27,400.49","28,800.00","29,000.00","27,344.00",1.53K,-3.79%,BMV,Mexico,MXN
26-Mar-18,"28,481.22","28,165.31","28,488.00","27,630.80",1.20K,2.42%,BMV,Mexico,MXN
23-Mar-18,"27,809.19","28,680.00","28,680.00","27,775.00",4.95K,-3.20%,BMV,Mexico,MXN
22-Mar-18,"28,727.36","28,942.00","28,951.22","28,660.00",1.31K,-1.04%,BMV,Mexico,MXN
21-Mar-18,"29,027.95","29,450.00","29,480.00","28,961.14",1.25K,-2.44%,BMV,Mexico,MXN
20-Mar-18,"29,754.48","29,199.00","29,810.60","29,097.00",9.50K,1.33%,BMV,Mexico,MXN
16-Mar-18,"29,364.74","29,688.58","29,694.46","29,319.00",1.22K,-0.85%,BMV,Mexico,MXN
15-Mar-18,"29,616.97","29,740.00","29,740.00","29,568.00",1.30K,0.00%,BMV,Mexico,MXN
14-Mar-18,"29,617.17","29,760.30","29,817.78","29,600.00",7.23K,0.06%,BMV,Mexico,MXN
13-Mar-18,"29,599.00","29,999.99","29,999.99","29,350.00",2.85K,-0.45%,BMV,Mexico,MXN
12-Mar-18,"29,732.69","29,720.00","30,000.00","29,715.00",0.85K,1.15%,BMV,Mexico,MXN
9-Mar-18,"29,395.00","28,975.00","29,395.00","28,928.20",1.72K,1.70%,BMV,Mexico,MXN
8-Mar-18,"28,902.65","29,000.00","29,093.00","28,865.00",1.43K,-0.02%,BMV,Mexico,MXN
7-Mar-18,"28,907.88","28,808.41","28,965.00","28,773.42",0.82K,0.35%,BMV,Mexico,MXN
6-Mar-18,"28,808.41","28,750.55","28,840.00","28,700.00",2.64K,0.53%,BMV,Mexico,MXN
5-Mar-18,"28,656.81","28,191.00","28,715.00","28,180.00",3.92K,0.55%,BMV,Mexico,MXN
2-Mar-18,"28,499.99","27,691.00","28,499.99","27,622.99",1.51K,1.24%,BMV,Mexico,MXN
1-Mar-18,"28,150.00","28,626.54","28,659.00","27,770.00",1.24K,-1.63%,BMV,Mexico,MXN
28-Feb-18,"28,617.25","28,640.00","28,791.60","28,540.00",1.32K,0.39%,BMV,Mexico,MXN
27-Feb-18,"28,506.70","28,473.00","28,643.00","28,380.00",1.54K,0.48%,BMV,Mexico,MXN
